n_clusters,n_dims,n_samples,algorithm,param,std_error
9,4,4000,rpkm,2,-0.4058222108714909
9,4,4000,rpkm,3,-0.12914788116423628
9,4,4000,rpkm,4,-0.04648663350818873
9,4,4000,rpkm,5,-0.01000644012419754
9,4,4000,rpkm,6,-6.634468830424667e-05
9,4,12000,rpkm,1,-1.0434753600103748
9,4,12000,rpkm,2,-0.4039513744952159
9,4,12000,rpkm,3,-0.09855351864251813
9,4,12000,rpkm,4,-0.023237063930899814
9,4,12000,rpkm,5,-0.005296621929972445
9,4,12000,rpkm,6,-6.677463489055072e-05
9,4,40000,rpkm,1,-0.9461887571493968
9,4,40000,rpkm,2,-0.422889828510076
9,4,40000,rpkm,3,-0.19002669441578574
9,4,40000,rpkm,4,-0.06799174904021509
9,4,40000,rpkm,5,-0.02413783820943053
9,4,40000,rpkm,6,-0.00012165070398488393
9,4,120000,rpkm,1,-0.9862602515552348
9,4,120000,rpkm,2,-0.5481800702583225
9,4,120000,rpkm,3,-0.2684401028993092
9,4,120000,rpkm,4,-0.14338609905442554
9,4,120000,rpkm,5,-0.01973699888026845
9,4,120000,rpkm,6,-0.0007093634482322276
9,4,400000,rpkm,1,-0.8848790758656084
9,4,400000,rpkm,2,-0.5632350201989473
9,4,400000,rpkm,3,-0.2504817212543097
9,4,400000,rpkm,4,-0.160806351017942
9,4,400000,rpkm,5,-0.03357430470118463
9,4,400000,rpkm,6,-0.00010700616518829903
9,4,1200000,rpkm,1,-0.9046393120784721
9,4,1200000,rpkm,2,-0.5007564823090976
9,4,1200000,rpkm,3,-0.18862297549028706
9,4,1200000,rpkm,4,-0.0913059470846045
9,4,1200000,rpkm,5,-0.02266277431496486
9,4,1200000,rpkm,6,-0.00022709247278278615
9,4,4000000,rpkm,1,-1.3170302534565592
9,4,4000000,rpkm,2,-1.0234374293241417
9,4,4000000,rpkm,3,-0.2621423194367058
9,4,4000000,rpkm,4,-0.12113141219836873
9,4,4000000,rpkm,5,-0.020501323136631996
9,4,4000000,rpkm,6,-0.0023729367018845413
9,8,4000,rpkm,1,-0.5897072941507473
9,8,4000,rpkm,2,-0.27050375670544563
9,8,4000,rpkm,3,-0.0398394782697092
9,8,4000,rpkm,4,-0.015371031003680568
9,8,4000,rpkm,5,-0.0006088268403245068
9,8,4000,rpkm,6,-0.0002070140823450225
9,8,12000,rpkm,1,-0.5439003007571472
9,8,12000,rpkm,2,-0.10748039540581475
9,8,12000,rpkm,3,-0.022907403192469342
9,8,12000,rpkm,4,-0.0018300729799793005
9,8,12000,rpkm,5,-0.0004217604212035541
9,8,12000,rpkm,6,-1.9368068590595753e-05
9,8,40000,rpkm,1,-0.580416627999874
9,8,40000,rpkm,2,-0.2553317846020455
9,8,40000,rpkm,3,-0.08850492094821553
9,8,40000,rpkm,4,-0.02189411364893218
9,8,40000,rpkm,5,-0.02044478604533043
9,8,40000,rpkm,6,-1.4719022322633507e-05
9,8,120000,rpkm,1,-0.6349878371585966
9,8,120000,rpkm,2,-0.2105191983794985
9,8,120000,rpkm,3,-0.08498603284782827
9,8,120000,rpkm,4,-0.05041767086959727
9,8,120000,rpkm,5,-6.0019497356887976e-05
9,8,120000,rpkm,6,-8.04398161049808e-06
9,8,400000,rpkm,1,-0.6387927593097085
9,8,400000,rpkm,2,-0.18779381539769585
9,8,400000,rpkm,3,-0.030212854675618177
9,8,400000,rpkm,4,-0.008596227076026261
9,8,400000,rpkm,5,-8.18104812262077e-05
9,8,400000,rpkm,6,-1.1597866060968171e-05
9,8,1200000,rpkm,1,-0.5379128105464871
9,8,1200000,rpkm,2,-0.15677811595711835
9,8,1200000,rpkm,3,-0.0324884138153191
9,8,1200000,rpkm,4,-0.013205859217150204
9,8,1200000,rpkm,5,-0.011695137585510749
9,8,1200000,rpkm,6,-1.8168757420000345e-05
9,8,4000000,rpkm,1,-2.428334633436895
9,8,4000000,rpkm,2,-0.9040287332632474
9,8,4000000,rpkm,3,-0.17323260221525544
9,8,4000000,rpkm,4,-0.04634914928098687
9,8,4000000,rpkm,5,-0.011812127759809039
9,8,4000000,rpkm,6,-1.559441313795317e-05
