n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,4,10000,rpkm,6,1099234.8,1.7742517471313477
9,4,100000,k-means++,0,4860000.0,0.14248862266540527
9,4,100000,mb-kmeans,100,1080000.0,13.46306483745575
9,4,100000,mb-kmeans,500,1260000.0,1.0479254007339478
9,4,100000,mb-kmeans,1000,1260000.0,2.2986879348754883
9,4,100000,rpkm,1,484.2,0.053717732429504395
9,4,100000,rpkm,2,5429.7,0.11853511333465576
9,4,100000,rpkm,3,38349.0,0.23418042659759522
9,4,100000,rpkm,4,264877.2,0.6652198791503906
9,4,100000,rpkm,5,2014870.5,2.614245057106018
9,4,100000,rpkm,6,4803737.4,8.000860404968261
9,4,1000000,k-means++,0,85500000.0,1.206482195854187
9,4,1000000,mb-kmeans,100,9000000.0,147.04259645938873
9,4,1000000,mb-kmeans,500,9900000.0,12.985449075698853
9,4,1000000,mb-kmeans,1000,12600000.0,23.688191723823547
9,4,1000000,rpkm,1,442.8,0.44961795806884763
9,4,1000000,rpkm,2,4621.5,0.7805062055587768
9,4,1000000,rpkm,3,46494.0,1.2067760705947876
9,4,1000000,rpkm,4,405274.5,2.2528494119644167
9,4,1000000,rpkm,5,3600818.1,6.984903001785279
9,4,1000000,rpkm,6,9953203.5,23.57980659008026
9,8,100,k-means++,0,4320.0,0.006641936302185058
9,8,100,mb-kmeans,100,24210.0,0.11819937229156494
9,8,100,mb-kmeans,500,24210.0,0.11431946754455566
9,8,100,mb-kmeans,1000,24210.0,0.1288837432861328
9,8,100,rpkm,1,2699.1,0.008533859252929687
9,8,100,rpkm,2,6165.9,0.01774706840515137
9,8,100,rpkm,3,6165.9,0.02533566951751709
9,8,100,rpkm,4,6165.9,0.02537353038787842
9,8,100,rpkm,5,6165.9,0.025887656211853027
9,8,100,rpkm,6,6165.9,0.0262470006942749
9,8,1000,k-means++,0,93600.0,0.01744046211242676
9,8,1000,mb-kmeans,100,42300.0,0.20265464782714843
9,8,1000,mb-kmeans,500,112500.0,0.1414726972579956
9,8,1000,mb-kmeans,1000,247500.0,0.18408551216125488
9,8,1000,rpkm,1,8398.8,0.012651896476745606
9,8,1000,rpkm,2,50778.9,0.05851778984069824
9,8,1000,rpkm,3,109014.3,0.14630718231201173
9,8,1000,rpkm,4,109014.3,0.2214346408843994
9,8,1000,rpkm,5,109014.3,0.22327444553375245
9,8,1000,rpkm,6,109014.3,0.21820635795593263
9,8,10000,k-means++,0,999000.0,0.040024185180664064
9,8,10000,mb-kmeans,100,162000.0,0.7224766969680786
9,8,10000,mb-kmeans,500,288000.0,0.33393378257751466
9,8,10000,mb-kmeans,1000,405000.0,0.44437742233276367
9,8,10000,rpkm,1,14081.4,0.02147822380065918
9,8,10000,rpkm,2,109048.5,0.13827764987945557
9,8,10000,rpkm,3,796343.4,0.6379862070083618
9,8,10000,rpkm,4,1244231.1,1.5197723388671875
9,8,10000,rpkm,5,1271228.4,2.4789188623428347
9,8,10000,rpkm,6,1271228.4,2.448455786705017
9,8,100000,k-means++,0,8460000.0,0.15598304271698
9,8,100000,mb-kmeans,100,1080000.0,18.254358458518983
9,8,100000,mb-kmeans,500,1530000.0,5.645787978172303
9,8,100000,mb-kmeans,1000,1890000.0,10.243921375274658
9,8,100000,rpkm,1,16782.3,0.08452181816101074
9,8,100000,rpkm,2,160134.3,0.39656045436859133
9,8,100000,rpkm,3,2426337.9,2.630013084411621
9,8,100000,rpkm,4,10930605.3,9.97229061126709
9,8,100000,rpkm,5,12820034.7,20.543746638298035
9,8,100000,rpkm,6,12820034.7,23.808595633506776
9,8,1000000,k-means++,0,140400000.0,1.838618803024292
9,8,1000000,mb-kmeans,100,9000000.0,145.71194996833802
9,8,1000000,mb-kmeans,500,12600000.0,42.06371431350708
9,8,1000000,mb-kmeans,1000,12600000.0,6.856989431381225
9,8,1000000,rpkm,1,16065.0,0.8438984394073487
9,8,1000000,rpkm,2,215541.0,1.609066128730774
9,8,1000000,rpkm,3,5460984.0,8.02126350402832
9,8,1000000,rpkm,4,114313779.0,45.314614820480344
9,8,1000000,rpkm,5,227160172.8,93.55105755329132
9,8,1000000,rpkm,6,236159977.5,184.16492629051208
