n_clusters,n_dims,n_samples,algorithm,param,instance_ratio
9,4,120000,rpkm,3,0.0019266666666666668
9,4,120000,rpkm,4,0.008011666666666667
9,4,120000,rpkm,5,0.03309083333333333
9,4,120000,rpkm,6,0.11846749999999999
9,4,400000,rpkm,1,3.05e-05
9,4,400000,rpkm,2,0.00014575
9,4,400000,rpkm,3,0.000609
9,4,400000,rpkm,4,0.00266175
9,4,400000,rpkm,5,0.01209075
9,4,400000,rpkm,6,0.05220575000000001
9,4,1200000,rpkm,1,1.075e-05
9,4,1200000,rpkm,2,5.016666666666666e-05
9,4,1200000,rpkm,3,0.00021091666666666668
9,4,1200000,rpkm,4,0.0009480000000000001
9,4,1200000,rpkm,5,0.004577416666666666
9,4,1200000,rpkm,6,0.022344916666666666
9,4,4000000,rpkm,1,3.9e-06
9,4,4000000,rpkm,2,1.5975000000000002e-05
9,4,4000000,rpkm,3,6.5675e-05
9,4,4000000,rpkm,4,0.00030132499999999997
9,4,4000000,rpkm,5,0.001530625
9,4,4000000,rpkm,6,0.00821965
9,8,4000,rpkm,1,0.007424999999999999
9,8,4000,rpkm,2,0.035425
9,8,4000,rpkm,3,0.11087499999999999
9,8,4000,rpkm,4,0.29
9,8,4000,rpkm,5,0.539525
9,8,4000,rpkm,6,0.8039
9,8,12000,rpkm,1,0.0029000000000000002
9,8,12000,rpkm,2,0.014591666666666666
9,8,12000,rpkm,3,0.053325
9,8,12000,rpkm,4,0.16605833333333334
9,8,12000,rpkm,5,0.37506666666666666
9,8,12000,rpkm,6,0.6651
9,8,40000,rpkm,1,0.0009674999999999999
9,8,40000,rpkm,2,0.0051400000000000005
9,8,40000,rpkm,3,0.02137
9,8,40000,rpkm,4,0.0786925
9,8,40000,rpkm,5,0.2229225
9,8,40000,rpkm,6,0.492
9,8,120000,rpkm,1,0.00034750000000000004
9,8,120000,rpkm,2,0.0019141666666666669
9,8,120000,rpkm,3,0.008669166666666667
9,8,120000,rpkm,4,0.03583083333333333
9,8,120000,rpkm,5,0.12362083333333333
9,8,120000,rpkm,6,0.34118499999999996
9,8,400000,rpkm,1,0.00011199999999999998
9,8,400000,rpkm,2,0.0006212500000000001
9,8,400000,rpkm,3,0.003014
9,8,400000,rpkm,4,0.01370775
9,8,400000,rpkm,5,0.056952249999999996
9,8,400000,rpkm,6,0.2035645
9,8,1200000,rpkm,1,3.941666666666667e-05
9,8,1200000,rpkm,2,0.00021891666666666666
9,8,1200000,rpkm,3,0.00110975
9,8,1200000,rpkm,4,0.005387583333333333
9,8,1200000,rpkm,5,0.02563275
9,8,1200000,rpkm,6,0.11446683333333334
9,8,4000000,rpkm,1,1.0124999999999999e-05
9,8,4000000,rpkm,2,5.0175e-05
9,8,4000000,rpkm,3,0.000255075
9,8,4000000,rpkm,4,0.0012889999999999998
9,8,4000000,rpkm,5,0.006929599999999999
9,8,4000000,rpkm,6,0.03865397499999999
