n_clusters,n_dims,n_samples,algorithm,param,std_error
9,6,100000.0,rpkm,1,-0.2889802770090547
9,6,100000.0,rpkm,2,-0.15680072971698278
9,6,100000.0,rpkm,3,-0.12215804221086102
9,6,100000.0,rpkm,4,-0.00018999586490905002
9,6,100000.0,rpkm,5,-2.952774309839592e-06
9,6,100000.0,rpkm,6,-2.014286319511809e-06
9,6,1000000.0,rpkm,1,-0.13118863005753895
9,6,1000000.0,rpkm,2,-0.07813966271863028
9,6,1000000.0,rpkm,3,-0.03758489548830289
9,6,1000000.0,rpkm,4,-0.020143355806809406
9,6,1000000.0,rpkm,5,-0.00018083393287521925
9,6,1000000.0,rpkm,6,-4.054764984199273e-06
9,8,100.0,rpkm,1,-0.06220888176110545
9,8,100.0,rpkm,2,-0.000681031200913489
9,8,100.0,rpkm,3,-0.000681031200913489
9,8,100.0,rpkm,4,-0.000681031200913489
9,8,100.0,rpkm,5,-0.000681031200913489
9,8,100.0,rpkm,6,-0.000681031200913489
9,8,1000.0,rpkm,1,-0.048743243021053255
9,8,1000.0,rpkm,2,-0.024977901228218705
9,8,1000.0,rpkm,3,-0.00016954291525837962
9,8,1000.0,rpkm,4,-0.00016954291525842063
9,8,1000.0,rpkm,5,-0.00016954291525835883
9,8,1000.0,rpkm,6,-0.00016954291525846546
9,8,10000.0,rpkm,1,-0.11499239124545133
9,8,10000.0,rpkm,2,-0.03530393867465874
9,8,10000.0,rpkm,3,-0.00018238946819548063
9,8,10000.0,rpkm,4,-2.2818111260661662e-06
9,8,10000.0,rpkm,5,-3.288928223711309e-07
9,8,10000.0,rpkm,6,-3.288928223510768e-07
9,8,100000.0,rpkm,1,-0.10739263328522874
9,8,100000.0,rpkm,2,-0.05171698901752575
9,8,100000.0,rpkm,3,-0.007866126979382037
9,8,100000.0,rpkm,4,-1.3711064019098268e-05
9,8,100000.0,rpkm,5,-3.501798266588825e-06
9,8,100000.0,rpkm,6,-3.5017982666254114e-06
9,8,1000000.0,rpkm,1,-0.15311286084987885
9,8,1000000.0,rpkm,2,-0.1064639310097398
9,8,1000000.0,rpkm,3,-0.06026983909038948
9,8,1000000.0,rpkm,4,-0.00037597567728456525
9,8,1000000.0,rpkm,5,-1.654492597986464e-06
9,8,1000000.0,rpkm,6,-1.4280647383588499e-06
