n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,4000000,mb-kmeans,100.0,24000300.0,5.1924028396606445
3,2,4000000,mb-kmeans,500.0,24001500.0,5.914463233947754
3,2,4000000,mb-kmeans,1000.0,24004200.0,4.067623472213745
3,2,4000000,rpkm,1.0,10.5,0.4639043092727661
3,2,4000000,rpkm,2.0,42.9,0.8180402517318726
3,2,4000000,rpkm,3.0,174.0,1.2306463479995728
3,2,4000000,rpkm,4.0,643.2,1.717207956314087
3,2,4000000,rpkm,5.0,2214.9,2.4898916244506837
3,2,4000000,rpkm,6.0,5201.1,3.1963822841644287
3,4,4000,k-means++,0,90000.0,0.0052126884460449215
3,4,4000,mb-kmeans,100.0,24600.0,0.05903053283691406
3,4,4000,mb-kmeans,500.0,30150.0,0.036853981018066403
3,4,4000,mb-kmeans,1000.0,43200.0,0.033612966537475586
3,4,4000,rpkm,1.0,96.0,0.003879356384277344
3,4,4000,rpkm,2.0,478.2,0.006770706176757813
3,4,4000,rpkm,3.0,2255.4,0.01523759365081787
3,4,4000,rpkm,4.0,8903.4,0.03292944431304932
3,4,4000,rpkm,5.0,22810.8,0.0674849271774292
3,4,4000,rpkm,6.0,38082.6,0.1403411865234375
3,4,12000,k-means++,0,532800.0,0.007386016845703125
3,4,12000,mb-kmeans,100.0,72360.0,0.08808360099792481
3,4,12000,mb-kmeans,500.0,74850.0,0.040510916709899904
3,4,12000,mb-kmeans,1000.0,84600.0,0.06080467700958252
3,4,12000,rpkm,1.0,111.6,0.005491065979003906
3,4,12000,rpkm,2.0,573.0,0.010668110847473145
3,4,12000,rpkm,3.0,2469.6,0.02312607765197754
3,4,12000,rpkm,4.0,8571.0,0.04270026683807373
3,4,12000,rpkm,5.0,35690.7,0.10778915882110596
3,4,12000,rpkm,6.0,69300.3,0.24771993160247802
3,4,40000,k-means++,0,1140000.0,0.012197637557983398
3,4,40000,mb-kmeans,100.0,240300.0,0.13477036952972413
3,4,40000,mb-kmeans,500.0,241650.0,0.0702301025390625
3,4,40000,mb-kmeans,1000.0,246000.0,0.08400065898895263
3,4,40000,rpkm,1.0,105.3,0.01259467601776123
3,4,40000,rpkm,2.0,601.8,0.020982122421264647
3,4,40000,rpkm,3.0,2709.6,0.035369133949279784
3,4,40000,rpkm,4.0,19364.4,0.07636723518371583
3,4,40000,rpkm,5.0,39587.1,0.155336332321167
3,4,40000,rpkm,6.0,79532.4,0.38859751224517824
3,4,120000,k-means++,0,3888000.0,0.026565146446228028
3,4,120000,mb-kmeans,100.0,720300.0,0.7008064746856689
3,4,120000,mb-kmeans,500.0,721800.0,0.195542049407959
3,4,120000,mb-kmeans,1000.0,725100.0,0.17017548084259032
3,4,120000,rpkm,1.0,105.0,0.03090071678161621
3,4,120000,rpkm,2.0,650.4,0.0482478141784668
3,4,120000,rpkm,3.0,4630.2,0.07559061050415039
3,4,120000,rpkm,4.0,19533.6,0.1337517738342285
3,4,120000,rpkm,5.0,41613.0,0.4032494068145752
3,4,120000,rpkm,6.0,101987.4,1.2077463865280151
3,4,400000,k-means++,0,18120000.0,0.07985785007476806
3,4,400000,mb-kmeans,100.0,2400300.0,1.3579215049743651
3,4,400000,mb-kmeans,500.0,2401950.0,0.597654914855957
3,4,400000,mb-kmeans,1000.0,2403900.0,0.2733995199203491
3,4,400000,rpkm,1.0,107.1,0.09211316108703613
3,4,400000,rpkm,2.0,667.8,0.15068254470825196
