n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,4,100.0,mb-kmeans,1000.0,0.4269846416695481,130.86887574254416,0.9262323115262812
3,4,100.0,rpkm,1.0,0.41611815195471574,127.43503989405505,0.907661491957269
3,4,100.0,rpkm,2.0,0.4283105421578462,131.05439887250924,0.9028106603545224
3,4,100.0,rpkm,3.0,0.43043876862238273,133.64648666581252,0.899467776657222
3,4,100.0,rpkm,4.0,0.4304458072552405,133.6801257920395,0.8997556551351249
3,4,100.0,rpkm,5.0,0.4304458072552405,133.6801257920395,0.8997556551351249
3,4,100.0,rpkm,6.0,0.4304458072552405,133.6801257920395,0.8997556551351249
3,4,1000.0,k-means++,None,0.4380760258582015,1358.2297353052325,0.9002694859976439
3,4,1000.0,mb-kmeans,100.0,0.43811261075616115,1357.937961810154,0.9006104995199073
3,4,1000.0,mb-kmeans,500.0,0.4381103076881569,1357.8314571638284,0.9000532192672408
3,4,1000.0,mb-kmeans,1000.0,0.4381539338319402,1357.8264087307064,0.8999968402132126
3,4,1000.0,rpkm,1.0,0.383604421591326,1054.0401448047207,1.0766133998084848
3,4,1000.0,rpkm,2.0,0.4296269917928182,1164.8884968380921,0.9649917436451787
3,4,1000.0,rpkm,3.0,0.42911961794779263,1172.3263214728515,0.9963147107014665
3,4,1000.0,rpkm,4.0,0.4297776164822961,1173.1235321013114,0.9950636065042623
3,4,1000.0,rpkm,5.0,0.42977762876418063,1173.17315528584,0.9956699616314187
3,4,1000.0,rpkm,6.0,0.42977762876418063,1173.17315528584,0.9956699616314187
3,4,10000.0,k-means++,None,0.4395004171825983,13704.319125538328,0.8980752093110969
3,4,10000.0,mb-kmeans,100.0,0.4320898868456419,12622.621019476817,0.9744294171617431
3,4,10000.0,mb-kmeans,500.0,0.43025627970522695,13283.85551437395,0.9427079902865909
3,4,10000.0,mb-kmeans,1000.0,0.43946078056867954,13703.471978351916,0.8981622344484308
3,4,10000.0,rpkm,1.0,0.40130364768630666,12070.895017171579,1.0246924029503757
3,4,10000.0,rpkm,2.0,0.412015077106878,12507.716435508537,1.0056711808127787
3,4,10000.0,rpkm,3.0,0.4301529552242001,13285.086109521002,0.9417946570768553
3,4,10000.0,rpkm,4.0,0.4301504788822569,13285.473026864765,0.9418998869902581
3,4,10000.0,rpkm,5.0,0.43054677741930264,13285.92690942519,0.9417807178053875
3,4,10000.0,rpkm,6.0,0.43054375771902464,13285.929033982926,0.941777193248359
3,8,100.0,k-means++,None,0.25775786085172775,43.01514160051654,1.4150694528081662
